id,cuil,genero,tipo_cliente
1,20-12345678-9,Female,Member
2,20-87654321-7,Male,Normal
3,20-13579246-5,Female,Normal
4,20-24681357-4,Male,Member
5,20-11223344-3,Female,Member
6,20-55667788-6,Male,Normal
7,20-33445566-1,Female,Normal
8,20-77889900-2,Male,Member
9,20-99887766-5,Female,Member
10,20-44556633-4,Male,Normal
11,20-66778899-8,Female,Normal
12,20-22334455-7,Male,Member
13,20-88990011-6,Female,Normal
14,20-12344321-9,Male,Member
15,20-55664422-3,Female,Member
16,20-43211234-8,Male,Normal
17,20-77665544-0,Female,Member
18,20-99881122-9,Male,Normal
19,20-33447755-2,Female,Normal
20,20-55443322-1,Male,Member
